Battery Voltage (V),Power (W),Humidity (%rel),Epoch Time,Significant Wave Height (m),Peak Period (s),Mean Period (s),Peak Direction (deg),Peak Directional Spread (deg),Mean Direction (deg),Mean Directional Spread (deg),Latitude (deg),Longitude (deg),f,df,a1,b1,a2,b2,varianceDensity,direction,directionalSpread,Wind Speed (m/s),Wind Direction (deg),Surface Temperature (°C),Partition0 Start Frequency (hz),Partition0 End Frequency (hz),Partition0 Significant Wave Height (m),Partition0 Mean Period (s),Partition0 Mean Direction (deg),Partition0 Mean Directional Spread (deg),Partition1 Start Frequency (hz),Partition1 End Frequency (hz),Partition1 Significant Wave Height (m),Partition1 Mean Period (s),Partition1 Mean Direction (deg),Partition1 Mean Directional Spread (deg),Mean Barometric Pressure (hPa),Processing Source
4.04,-0.04,66.4,1746747600,-,-,-,-,-,-,-,12.5910833,-81.6879333,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.04,0.01,56,1746742200,0.501,6.023,2.895,57.733,68.045,58.464,61.559,12.59110,-81.68793,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.35156;0.38086;0.41016;0.43945;0.46875;0.49805;0.6543,0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.0293;0.0293;0.0293;0.0293;0.0293;0.0293;0.2832,0.048876;0.013685;-0.072336;-0.104594;-0.147605;-0.189638;-0.196481;-0.167155;-0.139785;-0.195503;-0.26393;-0.286412;-0.387097;-0.352884;-0.249267;-0.28739;-0.315738;-0.301075;-0.317693;-0.41349;-0.371456;-0.315738;-0.423265;-0.455523;-0.552297;-0.576735;-0.502444;-0.393939;-0.45259;-0.480938;-0.445748;-0.415445;-0.498534;-0.495601;-0.509286;-0.454545;-0.437928;-0.393939;-0.140762,0.031281;0.002933;-0.042033;-0.053763;-0.059629;-0.106549;-0.052786;-0.037146;-0.004888;-0.064516;-0.097752;-0.180841;-0.307918;-0.362659;-0.15738;-0.130987;-0.297165;-0.259042;-0.225806;-0.234604;-0.193548;-0.27566;-0.201369;-0.182796;-0.15738;-0.250244;-0.227761;-0.198436;-0.284457;-0.386119;-0.386119;-0.334311;-0.286412;-0.29521;-0.231672;-0.30694;-0.290323;-0.164223;-0.070381,-0.083089;0;0.099707;0.277615;0.11437;0.01955;0.077224;0.132942;0.216031;0.139785;0.12219;0.094819;0.049853;-0.044966;0.014663;0.043988;0.018573;-0.030303;0.054741;0.051808;0.081134;-0.120235;-0.043988;-0.038123;0.16911;0.175953;0.048876;-0.12219;0.013685;0.052786;-0.012708;-0.111437;0.009775;0.186706;0.26002;0.284457;0.323558;0.388074;0.333333,0.298143;0.313783;0.099707;-0.088954;0.209189;0.376344;0.343109;0.302053;0.416422;0.40176;0.428153;0.400782;0.466276;0.406647;0.322581;0.471163;0.398827;0.195503;0.147605;0.207234;0.243402;0.167155;0.097752;0.079179;0.115347;0.198436;0.130987;0.01955;0.16911;0.329423;0.231672;0.14565;0.151515;0.211144;0.226784;0.376344;0.457478;0.29521;0.218964,0.005751808;0.011252736000000001;0.010753024;0.008502271999999998;0.007501824;0.007251968;0.007251968;0.006751232;0.008001536;0.00775168;0.009001984000000001;0.019004415999999996;0.042510336;0.06251519999999999;0.07251763200000001;0.06451609600000001;0.052013055999999995;0.032507904000000004;0.023005184;0.026006527999999998;0.024506367999999997;0.021505023999999998;0.022505472000000002;0.021505023999999998;0.025255935999999996;0.025505792000000003;0.028257280000000003;0.025756671999999998;0.036258816000000006;0.045010944000000004;0.043760639999999996;0.03800883199999999;0.031257599999999996;0.029006848000000002;0.028756992000000002;0.030007296;0.03600896;0.023256064;0.008001536,237.38045754236202;257.90324146354436;59.83998717323834;62.79610636216796;68.00243305355912;60.670340857717065;74.9621678588502;77.4710471176013;87.99729796128258;71.73710741492971;69.67683488879925;57.731619349114794;51.49935246056282;44.217333677394436;57.73286620164663;65.49738658903959;46.7357215701752;49.29161749618379;54.596005470202044;60.43049542989672;62.478129857227316;48.876906291708735;64.55715627719462;68.13499135245934;74.09481272454559;66.54408815928036;65.61491665144678;63.264568978399666;57.850258689149655;51.24091138473807;49.100002192947045;51.176164860704944;60.122268076463115;59.21940823411239;65.53941712750742;55.97007582994797;56.45773622151626;67.37000468440624;63.434948822922024,78.64233458618853;80.4594423473094;77.56495842077895;76.11491153485474;74.29942122375076;71.67604862386548;72.3177088721172;73.76561163120961;75.14837051699905;72.2075452906609;68.68563450839336;65.89134231803797;57.602708425696264;56.95024573780163;68.04498963198384;67.02219238509629;60.98237149576626;62.91190480540736;63.29741691586402;58.687870706816625;61.770268878545046;61.7551394233263;59.06055051660401;57.818708373159616;52.86866684734331;49.37517512147895;54.255404076216934;60.576842887158506;55.28023431683998;50.16198629149622;51.900739765834274;55.357766430298526;52.82717989060293;52.70828123984523;53.77852302458982;54.44765635284794;55.82019995239309;61.34670114728867;74.3796896853283,9.20,57.14,29.34,-,-,-,-,-,-,-,-,-,-,-,-,1009.4,embedded
4.04,0.01,56,1746740400,-,-,-,-,-,-,-,12.5911000,-81.6879333,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.04,0.15,51.2,1746735000,0.466,6.023,2.872,55.092,71.703,56.856,62.966,12.59108,-81.68792,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.35156;0.38086;0.41016;0.43945;0.46875;0.49805;0.6543,0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.0293;0.0293;0.0293;0.0293;0.0293;0.0293;0.2832,-0.065494;-0.103617;-0.096774;0.017595;0.029326;-0.062561;-0.164223;-0.064516;-0.030303;-0.1261;-0.142717;-0.252199;-0.240469;-0.185728;-0.177908;-0.242424;-0.288368;-0.249267;-0.247312;-0.371456;-0.390029;-0.383187;-0.382209;-0.465298;-0.521017;-0.432063;-0.391984;-0.465298;-0.491691;-0.522972;-0.415445;-0.355816;-0.464321;-0.506354;-0.454545;-0.453568;-0.449658;-0.317693;-0.16129,0.143695;0.116325;-0.006843;0.020528;0.01564;-0.029325;0.00782;-0.078201;-0.080156;-0.024438;-0.055718;-0.054741;-0.168133;-0.236559;-0.124145;-0.100684;-0.257087;-0.248289;-0.260997;-0.244379;-0.194526;-0.215054;-0.217009;-0.101662;-0.14565;-0.195503;-0.272727;-0.27175;-0.402737;-0.370479;-0.349951;-0.385142;-0.412512;-0.334311;-0.318671;-0.268817;-0.189638;-0.234604;-0.062561,0.053763;-0.097752;-0.083089;-0.086021;-0.129032;0.037146;0.218964;0.223851;0.171066;0.227762;0.209189;-0.061584;-0.104594;-0.038123;0.101662;0.059629;-0.067449;-0.046921;0.042033;0.138807;0.104594;0.086022;-0.001955;0.072336;0.123167;-0.067449;-0.144673;0.013685;0.021505;0.090909;0.036168;-0.054741;0.028348;0.090909;0.206256;0.201369;0.376344;0.316716;0.328446,0.243402;0.098729;0.089932;0.225806;0.233627;0.147605;0.182796;0.108504;0.109482;0.186706;0.333333;0.350929;0.289345;0.387097;0.365591;0.281525;0.325513;0.175953;0.233627;0.152493;0.106549;0.138807;0.034213;-0.020528;0.094819;0.111437;0.082111;0.072336;0.316716;0.406647;0.296188;0.237537;0.432063;0.381232;0.397849;0.335288;0.362659;0.427175;0.353861,0.0032511999999999997;0.0070021120000000004;0.007501824;0.0070021120000000004;0.006251520000000001;0.0027504639999999998;0.0027504639999999998;0.004501504;0.0055009279999999995;0.006251520000000001;0.00775168;0.017754112000000002;0.033508352;0.048011264;0.07276748799999999;0.055513088;0.044511232;0.032258048000000004;0.027756544;0.025255935999999996;0.020254719999999997;0.019505151999999998;0.018504704;0.019004415999999996;0.02200576;0.022255616;0.02200576;0.025756671999999998;0.030257152000000002;0.041260032;0.03800883199999999;0.025006080000000003;0.031507456;0.030257152000000002;0.024255488000000002;0.022755328;0.023005184;0.01875456;0.007501824,155.4972215152313;138.30680879319058;85.9552823513385;220.60060507106124;241.92832431746305;64.8855170784675;92.72626126522425;39.52270756283343;20.709113862107642;79.0321210278741;68.67387940975465;77.75363854828436;55.039222260176814;38.13628703340436;55.09249231042372;67.44581723974318;48.28222917590904;45.11262089131219;43.457821165325186;56.65928698763054;63.49238661979979;60.697784395786584;60.41314054345048;77.67524293709982;74.38169583605912;65.65385436905342;55.17132690762753;59.7136054662916;50.679589651602384;54.68583202134357;49.890816147821795;42.733502433240574;48.38147603319919;56.56593951963862;54.966590086618055;59.34596993319292;67.13298414998678;53.5555654253518;68.79977398742659,74.35584795136161;74.45004588955312;76.9976986989556;79.92559189748611;79.67056400408282;78.17912263667489;74.06865967157079;76.81143897985551;77.47894525230275;75.64578447967871;74.56345927507262;69.79409007570031;68.11126643312488;67.75659151085524;71.70261178164543;69.58544526998934;63.475415572961644;65.23542055046599;64.84510545396438;60.384673121742004;60.86055581115291;60.668127268661394;60.66220902382856;58.639396751253166;54.89687584846091;58.753402237574385;58.56926868448744;55.02533341384269;48.914879149239354;48.55618770991331;54.76502605945642;55.88341276026115;49.87722369182289;50.81199388326253;54.04521480178373;55.71293465614491;57.97862070575863;63.02912385138523;73.68700138734354,7.20,74.29,29.32,-,-,-,-,-,-,-,-,-,-,-,-,1010.4,embedded
4.04,0.15,51.2,1746733200,-,-,-,-,-,-,-,12.5910833,-81.6879167,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.04,0.01,56,1746727800,0.48,6.023,2.895,87.932,69.186,59.608,63.321,12.59107,-81.68793,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.35156;0.38086;0.41016;0.43945;0.46875;0.49805;0.6543,0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.0293;0.0293;0.0293;0.0293;0.0293;0.0293;0.2832,-0.200391;-0.083089;-0.043011;-0.083089;0.004888;-0.139785;-0.100684;-0.190616;-0.144673;-0.176931;-0.223851;-0.225806;-0.232649;-0.171065;-0.270772;-0.386119;-0.320626;-0.321603;-0.397849;-0.437928;-0.423265;-0.438905;-0.399804;-0.451613;-0.459433;-0.486804;-0.530792;-0.468231;-0.44477;-0.491691;-0.478983;-0.494624;-0.493646;-0.449658;-0.473118;-0.390029;-0.373412;-0.326491;-0.022483,-0.009775;0.026393;-0.001955;-0.060606;-0.070381;-0.013685;-0.034213;-0.049853;-0.060606;-0.12219;-0.112414;-0.204301;-0.241447;-0.095797;-0.009775;-0.202346;-0.183773;-0.156403;-0.156403;-0.125122;-0.182796;-0.156403;-0.120235;-0.228739;-0.213099;-0.167155;-0.222874;-0.304008;-0.337243;-0.391007;-0.373412;-0.366569;-0.362659;-0.328446;-0.258064;-0.217986;-0.181818;-0.176931;-0.053763,0.105572;0.074291;-0.059629;0.047898;0.056696;-0.00782;0.146628;0.107527;0.173998;0.168133;0.142718;0.031281;0.00782;-0.029325;-0.001955;0.061584;0.01955;0.065494;0.069404;0.124145;0.103617;0.206256;0.045943;0.005865;0.035191;0.13001;0.15347;0.064516;0.014663;-0.043988;-0.026393;0.053763;0.086022;0.101662;0.168133;0.243402;0.388074;0.359726;0.357771,0.309873;0.311828;0.135875;0.195503;0.167155;0.274682;0.219941;0.166178;0.129032;0.225806;0.376344;0.490714;0.504399;0.326491;0.327468;0.506354;0.314761;0.215054;0.256109;0.155425;0.181818;-0.040078;-0.117302;0.071359;0.039101;0.074291;0.148583;0.225806;0.290323;0.30694;0.239492;0.346041;0.347019;0.363636;0.368524;0.234604;0.28348;0.26784;0.243402,0.002250752;0.004501504;0.0070021120000000004;0.005251072;0.005251072;0.004250624;0.0035010560000000002;0.004501504;0.005251072;0.006251520000000001;0.008502271999999998;0.013253632;0.026756095999999997;0.048011264;0.0657664;0.06401536000000001;0.055263232;0.044761088000000004;0.03425792;0.028507136;0.028257280000000003;0.026756095999999997;0.021005312;0.022755328;0.022755328;0.017504256000000003;0.024005632;0.030507008;0.035008512000000006;0.043510784;0.036758528;0.033758208000000005;0.034508800000000006;0.029507584000000003;0.031757311999999996;0.021255168;0.023005184;0.018003968000000002;0.007501824,87.20734633400286;107.62231196679883;87.39749822352928;53.892591070580124;356.0271552348553;84.40854161333675;71.2319448861511;75.34336574779047;67.27035442426279;55.370723357707675;63.335008953657336;47.86235871788273;43.9368600146762;60.75102067842448;87.93249252634234;62.34317457530739;60.1799864876902;64.06527019072757;68.53914288145188;74.05463865895183;66.64187071659234;70.38656687137637;73.26213571029865;63.13808740065974;65.11669547123773;71.04894910310543;67.2229751622973;57.00557474432901;52.829091790411326;51.507257782821284;52.06025515091852;53.45761992052661;53.696987408250266;53.85429518299668;61.38957427360401;60.79931050106103;64.03809066937106;61.54598630511214;22.694058823314947,72.44555627975319;77.4159016795363;79.26492015622352;76.74880741549704;78.11789311443935;75.12290478939848;76.5992019787855;72.60859009109912;74.40272962067995;71.79034526251137;70.14969770738453;67.57446401181541;66.0620976043215;72.65222421678594;69.18576841520252;60.85629873475585;64.33688027861297;64.94331123986058;61.30982052349246;59.79374393752397;59.485570963896656;59.2151606300506;61.84271138104913;56.93730821150645;56.92512106884036;56.44708796314328;52.781525085100476;53.85399841370905;53.8598915996592;49.40684051642986;50.774569813963936;50.234340034765616;50.43706946931646;53.94095762358013;55.0204963309455;60.26625454927868;61.95767864330841;64.24539890499206;78.63207563921611,7.60,285.71,29.10,-,-,-,-,-,-,-,-,-,-,-,-,1012.3000000000001,embedded
4.04,0.01,56,1746726000,-,-,-,-,-,-,-,12.5910500,-81.6879333,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.04,0.05,66.4,1746720600,0.484,5.689,2.881,68.741,65.574,61.195,62.962,12.59107,-81.68795,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.35156;0.38086;0.41016;0.43945;0.46875;0.49805;0.6543,0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.0293;0.0293;0.0293;0.0293;0.0293;0.0293;0.2832,-0.035191;0;0.008798;0.018573;-0.044966;-0.1652;-0.131965;-0.099707;-0.059629;-0.152493;-0.280547;-0.252199;-0.232649;-0.236559;-0.273705;-0.321603;-0.351906;-0.373412;-0.337243;-0.349951;-0.377322;-0.325513;-0.418377;-0.462366;-0.525904;-0.580645;-0.576735;-0.520039;-0.501466;-0.55914;-0.534702;-0.44086;-0.497556;-0.496579;-0.479961;-0.408602;-0.387097;-0.332356;-0.089932,-0.045943;-0.059629;-0.083089;-0.1261;-0.082111;0.006843;-0.018573;-0.103617;-0.035191;-0.086999;-0.182796;-0.121212;-0.264907;-0.30303;-0.147605;-0.125122;-0.250244;-0.240469;-0.250244;-0.293255;-0.256109;-0.168133;-0.147605;-0.152493;-0.144673;-0.163245;-0.196481;-0.273705;-0.323558;-0.313783;-0.359726;-0.411535;-0.311828;-0.26002;-0.222874;-0.174976;-0.156403;-0.132942;-0.034213,0.11828;0.236559;0.164223;-0.069404;0.102639;0.1652;0.239492;0.202346;0.215054;0.192571;0.080156;0.143695;0.044966;0.008798;0.066471;-0.022483;0;0.121212;0.076246;0.083089;0.084066;-0.017595;0.186706;0.075269;0.1652;0.262952;0.16129;0.079179;-0.029325;0.035191;0.047898;-0.072336;0.086999;0.237537;0.197458;0.240469;0.343109;0.342131;0.361681,0.080156;0.173021;0.120235;-0.121212;0.013685;0.103617;0.175953;0.207234;0.125122;0.147605;0.166178;0.215054;0.235582;0.31085;0.285435;0.235582;0.250244;0.16911;0.193548;0.090909;0.14174;0.001955;-0.047898;0.052786;0.050831;0.053763;0.251222;0.246334;0.184751;0.211144;0.232649;0.302053;0.242424;0.131965;0.205279;0.176931;0.231672;0.188661;0.225806,0.005751808;0.007251968;0.012003327999999999;0.011502592;0.007501824;0.0035010560000000002;0.0032511999999999997;0.0060016639999999994;0.006251520000000001;0.006501376;0.008001536;0.013753344;0.022505472000000002;0.038509568;0.058013696000000003;0.067016704;0.063765504;0.049261568;0.029256703999999998;0.032258048000000004;0.026006527999999998;0.019004415999999996;0.020254719999999997;0.022255616;0.027256831999999998;0.02975744;0.029256703999999998;0.032008192000000005;0.031257599999999996;0.037009408;0.03900928;0.035258368;0.031257599999999996;0.028006399999999997;0.027506688;0.024756223999999997;0.022755328;0.019004415999999996;0.008252416,37.45106319439526;360;353.9556751807345;351.621268887242;28.706195382783562;92.37197945364551;81.98870531441321;43.89831555335388;59.45234647082782;60.29474756884974;56.91294224534056;64.3301082266475;41.290539789788454;37.97721753364624;61.66268096109536;68.74111252254988;54.582973559362244;57.21936800473395;53.423522822513405;50.037371188707766;55.83312449313206;62.68287732894464;70.56696413448276;71.74691995526337;74.61874527554414;74.29697748653325;71.18714621092795;62.241436694577715;57.168913071869895;60.699355843125886;56.06892035124349;46.97037327352837;57.92382955729323;62.362428179949404;65.09179757039414;66.81789508361942;67.99927979983727;68.19864995946398;69.17158939718797,78.64888881857578;78.57551641786254;77.56953528499155;75.68855098607492;77.14246053454897;74.02731492660891;75.43634699514817;74.97658539047264;78.17299376018461;73.57257167606456;66.08442973005204;68.7637465936777;65.19827404804676;63.573472325776564;67.26002731597428;65.57373664711338;61.07794492547672;60.411507388942795;61.712299380652674;59.73184372737017;59.76197634042596;64.49934274872307;60.43814641098919;58.043544495695855;54.630228777888;51.04431317000175;50.64863541422285;52.03080718350612;51.452140507051396;48.538101479554804;48.31602348800705;51.0485223456816;52.06067421523903;53.71543086242196;55.59853884558899;60.39252722765053;61.842311365520374;64.9260939484505;77.03161205120199,8.00,80.00,28.82,-,-,-,-,-,-,-,-,-,-,-,-,1013,embedded
4.04,0.05,66.4,1746718800,-,-,-,-,-,-,-,12.5910667,-81.6879500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.04,0.74,77.6,1746713400,0.473,5.689,2.857,61.622,60.518,58.415,60.792,12.59105,-81.68793,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.35156;0.38086;0.41016;0.43945;0.46875;0.49805;0.6543,0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.0293;0.0293;0.0293;0.0293;0.0293;0.0293;0.2832,0.033236;0.02737;-0.030303;-0.055718;-0.001955;0.006843;-0.102639;-0.1652;-0.15347;-0.239492;-0.262952;-0.281525;-0.130987;-0.237537;-0.296188;-0.389052;-0.378299;-0.381232;-0.428152;-0.437928;-0.435973;-0.441838;-0.445748;-0.483871;-0.478006;-0.491691;-0.543499;-0.577713;-0.573803;-0.513196;-0.461388;-0.439883;-0.512219;-0.435973;-0.464321;-0.453568;-0.411535;-0.389052;-0.14174,0.036168;0.028348;0.055718;0;-0.044966;-0.031281;-0.079179;-0.150538;-0.14565;-0.128055;-0.136852;-0.089932;-0.123167;-0.244379;-0.206256;-0.210166;-0.345064;-0.404692;-0.259042;-0.222874;-0.266862;-0.281525;-0.29912;-0.231672;-0.235582;-0.269795;-0.26002;-0.258064;-0.298143;-0.373412;-0.427175;-0.450635;-0.347019;-0.30303;-0.308895;-0.253177;-0.173021;-0.139785;-0.034213,0.113392;0.02346;-0.00391;0.001955;-0.006843;0.120235;0.068426;-0.005865;0.021505;0.207234;0.154448;0.130987;-0.037146;0.008798;0.037146;0.018573;0.004888;0.020528;0.14565;0.144673;0.120235;0.112414;0.068426;0.025415;0.00782;-0.010753;0.078201;0.089932;0.143695;0.044966;-0.045943;-0.081134;0.065494;0.055718;0.1652;0.326491;0.379277;0.377322;0.393939,-0.090909;0.084066;0.128055;0.093842;0.11437;0.28348;0.252199;0.253177;0.315738;0.235582;0.106549;0.138807;0.236559;0.378299;0.307918;0.300098;0.30694;0.317693;0.232649;0.177908;0.214076;0.258065;0.14956;0.054741;-0.010753;0.076246;0.168133;0.201369;0.244379;0.261975;0.209189;0.193548;0.241447;0.162268;0.26393;0.304985;0.168133;0.232649;0.183773,0.006751232;0.010002432;0.008252416;0.0070021120000000004;0.005751808;0.0035010560000000002;0.0032511999999999997;0.005251072;0.00475136;0.0055009279999999995;0.008502271999999998;0.011502592;0.017754112000000002;0.030507008;0.046011392;0.05951488;0.053012479999999994;0.046511104000000004;0.032008192000000005;0.025505792000000003;0.032258048000000004;0.027756544;0.023005184;0.026756095999999997;0.023755776000000003;0.023005184;0.027006976000000002;0.035508224000000005;0.038259712;0.03600896;0.03425792;0.03750912;0.035008512000000006;0.026506239999999997;0.023256064;0.022755328;0.02175488;0.021255168;0.00775168,222.5809550475928;223.99440901196186;151.459833818748;90;2.4894976264264415;347.6604210966791;52.352259372877256;47.65874760639355;46.49756271719082;61.86683949200591;62.50551146728094;72.28413291095444;46.762363303780376;44.186598106119845;55.14786134051866;61.622069891434194;47.630611485501845;43.29021639542782;58.82507825342009;63.027163989080464;58.528919777626015;57.49602002272917;56.1363420836866;64.41542400531023;63.76393119051738;61.246051920570494;64.43268294949513;65.92971735164014;62.5440077379983;53.95959104759504;47.20501263835092;44.308251726934145;55.88307853694471;55.19815051544464;56.36569656095821;60.83019376321454;67.19673271274297;70.23681755845837;76.42960512961434,79.01335987833338;79.41597487912553;78.41675085442026;78.73874453916305;79.18399117724184;79.72061804379275;75.59436978559933;71.40161916532003;71.94752888687775;69.15589672397512;67.96581305970216;68.00889144885132;73.38338824446426;65.78791055622715;64.77577189586262;60.51752047098736;56.602055503031195;53.99319557094954;57.271898284009126;57.78759049202984;56.65256671970033;55.909310713910294;55.14645760267101;55.166476244195785;55.378330323428116;53.696446558468104;51.08675546497709;49.105414729650946;48.16685597426816;48.9756259763291;49.369250367138314;49.305193026695655;50.034626770199324;55.494609991627996;53.889548027540414;56.17064804949351;60.28717968368959;62.05944370843839;74.88842493886463,7.20,211.43,28.60,-,-,-,-,-,-,-,-,-,-,-,-,1012.4,embedded
4.04,0.74,77.6,1746711600,-,-,-,-,-,-,-,12.5910500,-81.6879333,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
