% Device,CC1314009
% File name,CC1314009_20211112_173037
% Cast time (UTC),2021-11-12 17:30:37
% Cast time (local),2021-11-12 12:30:37
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,12.6095516
% Start longitude,-81.7036656
% Start altitude,-0.017999999225139618
% Start GPS horizontal error(Meter),17.75200080871582
% Start GPS vertical error(Meter),33.449001312255859
% Start GPS number of satellites,8
% End latitude,12.6094861
% End longitude,-81.7037872
% End altitude,-1.5809999704360962
% End GPS horizontal error(Meter),9.005000114440918
% End GPS vertical error(Meter),19.562999725341797
% End GPS number of satellites,9
% Cast duration (Seconds),57
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2019-11-05
% Temperature calibration date,2019-10-16
% Pressure calibration date,2019-10-16
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
12.45,12.442087794411911,28.965154388964184,58777.02609294116,54458.313664123416,36.049021327411111,1544.7378498869553,1022.9191869206554
12.75,12.741879148979395,28.965750935507383,58779.200204445668,54459.72601649764,36.049986087999116,1544.7451960817023,1022.9209934201347
13.049999999999999,13.041670599022028,28.966898929413549,58774.883233455366,54454.567892005849,36.046039898841578,1544.7485661613496,1022.9189254932595
13.35,13.341463107299036,28.970113837009741,58768.971694338208,54445.847447923741,36.039427880412191,1544.7535526528616,1022.9141619467339
13.649999999999999,13.641255000775383,28.970638121563876,58785.522931236046,54460.652103859778,36.050400196565718,1544.7712463981645,1022.9235111518765
13.95,13.941045053615401,28.966287494484266,58782.5582334805,54462.295780016822,36.051547392818364,1544.7682191327272,1022.9271129749794
14.249999999999998,14.240834648427013,28.969099158961548,58784.940644989751,54461.665620768959,36.050981585346655,1544.7786895050379,1022.9270269828551
14.549999999999999,14.5406245258773,28.969291419862294,58780.146724229679,54457.030264619,36.04742791183061,1544.7804304425838,1022.9255742784137
14.85,14.840414715752527,28.97343370833218,58784.448767762718,54456.83619595971,36.0471853995343,1544.7940809220143,1022.9252850163871
15.149999999999999,15.140205754580219,28.972653127696706,58770.924587072906,54445.095044729154,36.038324029269042,1544.7881748792279,1022.9201709244627
